Lat,Lon,Elev
42.721193401079,23.301428571429,540.000
42.721193401079,23.315,533.000
42.721193401079,23.328571428571,530.000
42.721193401079,23.342142857143,531.000
42.721193401079,23.355714285714,529.000
42.721193401079,23.369285714286,521.000
42.721193401079,23.382857142857,520.000
42.721193401079,23.396428571429,522.000
42.730392801178,23.22,569.000
42.730392801178,23.233571428571,555.000
42.730392801178,23.247142857143,561.000
42.730392801178,23.260714285714,549.000
42.730392801178,23.274285714286,541.000
42.730392801178,23.287857142857,541.000
42.730392801178,23.301428571429,536.000
42.730392801178,23.315,531.000
42.730392801178,23.328571428571,529.000
42.730392801178,23.342142857143,521.000
42.730392801178,23.355714285714,518.000
42.730392801178,23.369285714286,518.000
42.730392801178,23.382857142857,518.000
42.730392801178,23.396428571429,519.000
42.739592201276,23.22,561.000
